artifact_name,project_name,metric_name,sample_date,amount
homebrew-k,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
datasig,trailofbits,GITHUB_active_developers_monthly,2025-05-01,1
challenge-tasks,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
noir-libs-client,walnuthq,GITHUB_active_developers_monthly,2025-01-01,2
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2025-03-01,4
mir-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,4
noir-libs,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
rfc3161-client,trailofbits,GITHUB_active_developers_monthly,2025-03-01,1
are-we-pep740-yet,trailofbits,GITHUB_active_developers_monthly,2025-03-01,1
stable-mir-json,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,3
ercx-tests,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
kaas-vscode,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2025-01-01,2
passport,passportxyz,GITHUB_active_developers_monthly,2025-01-01,3
kontrol-solady,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,1
pyth-client,pyth-network,GITHUB_active_developers_monthly,2025-01-01,1
oss-funding,opensource-observer,GITHUB_active_developers_monthly,2025-01-01,1
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2025-04-01,2
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,2
vast,trailofbits,GITHUB_active_developers_monthly,2025-04-01,2
documentation,pyth-network,GITHUB_active_developers_monthly,2025-05-01,7
rfc3161-client,trailofbits,GITHUB_active_developers_monthly,2025-05-01,2
engine,third-web,GITHUB_active_developers_monthly,2025-05-01,2
stable-mir-json,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,2
cairovm.codes,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
go-mutexasserts,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
insight,third-web,GITHUB_active_developers_monthly,2025-02-01,3
depeg-swap,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
necessist,trailofbits,GITHUB_active_developers_monthly,2025-02-01,2
rfc8785.py,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,2
ruzzy,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
insights,opensource-observer,GITHUB_active_developers_monthly,2025-02-01,2
id-staking-v2-app,passportxyz,GITHUB_active_developers_monthly,2025-04-01,2
oso,opensource-observer,GITHUB_active_developers_monthly,2025-04-01,6
build-wrap,trailofbits,GITHUB_active_developers_monthly,2025-04-01,2
fairates,fairblock,GITHUB_active_developers_monthly,2025-04-01,2
zkevm-harness,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,3
asknebula,third-web,GITHUB_active_developers_monthly,2025-05-01,1
evm-equivalence,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
arbitrum-stylus,remix-arbitrum-welldonestudio,GITHUB_active_developers_monthly,2025-05-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
fairyring,fairblock,GITHUB_active_developers_monthly,2025-01-01,2
cargo-stylus-walnut,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
kontrol,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,2
documentation,pyth-network,GITHUB_active_developers_monthly,2025-01-01,9
rfc3161-client,trailofbits,GITHUB_active_developers_monthly,2025-04-01,3
engine,third-web,GITHUB_active_developers_monthly,2025-04-01,3
eco-poc,syndicateprotocol,GITHUB_active_developers_monthly,2025-04-01,1
gitbook-simbolik,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,1
homebrew-k,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,1
insights,opensource-observer,GITHUB_active_developers_monthly,2025-04-01,3
